audio_id,chunk_id,encodec_encoder_ms,quantizer_3cb_ms,quantizer_4cb_ms,plain_pack_ms,conv_encode_pack_ms,vogeo_encode_only_ms,vogeo_pack_ms,uncoded_total_ms,conv_total_ms,proposed_total_ms
70,10,47.331457,3.84745,3.86265,0.043881,0.744204,0.461095,0.006098,51.237988,51.923111000000006,51.646100000000004
70,11,46.648655,3.828304,3.843712,0.047156,0.758395,0.472132,0.005683,50.539523,51.235354,50.954774
70,12,44.787394,3.79974,3.8964,0.044773,0.761976,0.485405,0.006989,48.728567,49.349109999999996,49.079527999999996
70,13,46.354953,3.879421,3.890623,0.044216,0.76002,0.459615,0.00669,50.289792,50.994394,50.700679
71,0,49.226778,3.951587,4.136963,0.045405,0.759601,0.488362,0.006164,53.40914600000001,53.937966,53.672891
71,1,46.344481,3.988487,3.879825,0.045333,0.761658,0.471361,0.006798,50.269639,51.094626,50.811127000000006
71,2,49.59984,3.906454,4.024708,0.051255,0.771314,0.485569,0.007112,53.675803,54.277607999999994,53.998974999999994
71,3,52.174143,4.016286,3.980638,0.046048,0.77553,0.484987,0.006566,56.200829,56.965959000000005,56.681982
71,4,45.99566,3.87081,4.049896,0.05406,0.776321,0.480091,0.006744,50.099616000000005,50.642791,50.353305
71,5,47.116122,3.976796,3.88657,0.043696,0.763159,0.461751,0.0057,51.04638799999999,51.856077,51.560368999999994
71,6,48.38153,3.865345,3.899906,0.046825,0.762135,0.468673,0.006849,52.328261,53.009009999999996,52.722397
71,7,47.056855,3.886675,3.901077,0.043203,0.760743,0.502645,0.006512,51.001135,51.70427299999999,51.452687
71,8,45.947143,3.87928,3.935245,0.043775,0.764148,0.451251,0.007234,49.926162999999995,50.590571,50.284907999999994
72,0,50.947512,3.967859,3.99851,0.045399,0.776405,0.524217,0.00765,54.99142100000001,55.691776,55.447238
72,1,46.469756,3.94748,3.881979,0.045046,0.755861,0.479313,0.007116,50.396781,51.173097,50.903665
72,2,47.378901,3.893645,3.891725,0.044491,0.784153,0.4796,0.007803,51.315117,52.056699,51.759949
72,3,48.240727,3.935903,3.912026,0.046671,0.776334,0.490365,0.007066,52.199424,52.952964,52.674061
72,4,48.028956,3.974311,4.039741,0.046229,0.781459,0.484549,0.006021,52.114926,52.784726,52.493837
72,5,45.146048,3.979846,4.054725,0.045005,0.792965,0.463069,0.006245,49.245778,49.918859000000005,49.595208
72,6,49.53008,4.200281,4.187171,0.046441,0.794139,0.490996,0.005667,53.763692,54.5245,54.22702400000001
72,7,51.266532,4.191172,4.084641,0.043819,0.779855,0.516556,0.007275,55.394991999999995,56.237559,55.981535
72,8,49.592072,3.944298,3.950594,0.044876,0.773845,0.476121,0.007314,53.587542000000006,54.31021500000001,54.019805000000005
72,9,49.424327,4.038623,4.015196,0.044564,0.766423,0.476784,0.006603,53.484087,54.229373,53.946337
73,0,50.481883,4.076176,4.152515,0.046218,0.79317,0.503852,0.006202,54.68061600000001,55.351229000000004,55.068113000000004
73,1,46.810314,3.92404,3.922332,0.045359,0.776567,0.4803,0.00715,50.77800499999999,51.510920999999996,51.221804
73,2,47.240699,3.913005,3.917051,0.042179,0.757749,0.466182,0.005797,51.199929,51.911452999999995,51.625683
73,3,47.922557,3.880715,3.935242,0.04693,0.75855,0.49328,0.006606,51.904729,52.561822,52.303157999999996
