method,audio_id,estoi,tx_gain_db
proposed,11,0.651842,32.00
conv,11,0.472226,32.00
3,11,0.360835,32.00
proposed,12,0.659972,32.00
conv,12,0.430545,32.00
3,12,0.326799,32.00
proposed,13,0.620746,32.00
conv,13,0.340045,32.00
3,13,0.278408,32.00
proposed,14,0.688946,32.00
conv,14,0.415335,32.00
3,14,0.318188,32.00
proposed,15,0.679891,32.00
conv,15,0.472370,32.00
3,15,0.335842,32.00
proposed,16,0.635841,32.00
conv,16,0.444075,32.00
3,16,0.311196,32.00
proposed,17,0.624261,32.00
conv,17,0.464729,32.00
3,17,0.328034,32.00
proposed,18,0.647187,32.00
conv,18,0.416776,32.00
3,18,0.327414,32.00
proposed,19,0.613040,32.00
conv,19,0.422045,32.00
3,19,0.282662,32.00
proposed,20,0.620911,32.00
conv,20,0.392379,32.00
3,20,0.278494,32.00
proposed,21,0.678211,32.00
conv,21,0.435647,32.00
3,21,0.290789,32.00
proposed,22,0.630872,32.00
conv,22,0.408411,32.00
3,22,0.285124,32.00
proposed,23,0.634976,32.00
conv,23,0.430319,32.00
3,23,0.309646,32.00
proposed,24,0.653158,32.00
conv,24,0.420531,32.00
3,24,0.312374,32.00
proposed,25,0.626983,32.00
conv,25,0.403901,32.00
3,25,0.284114,32.00
proposed,26,0.625988,32.00
conv,26,0.426856,32.00
3,26,0.267204,32.00
proposed,27,0.680552,32.00
conv,27,0.450619,32.00
3,27,0.327787,32.00
proposed,28,0.672826,32.00
conv,28,0.499532,32.00
3,28,0.344410,32.00
proposed,29,0.673426,32.00
conv,29,0.459760,32.00
3,29,0.309404,32.00
proposed,30,0.674729,32.00
conv,30,0.477121,32.00
3,30,0.343389,32.00
proposed,31,0.671421,32.00
conv,31,0.504831,32.00
3,31,0.384944,32.00
proposed,32,0.633249,32.00
conv,32,0.427659,32.00
3,32,0.346985,32.00
proposed,33,0.644187,32.00
conv,33,0.444447,32.00
3,33,0.299492,32.00
proposed,34,0.653459,32.00
conv,34,0.440716,32.00
3,34,0.374250,32.00
proposed,35,0.660094,32.00
conv,35,0.452682,32.00
3,35,0.292487,32.00
proposed,36,0.667060,32.00
conv,36,0.481427,32.00
3,36,0.326248,32.00
proposed,37,0.633885,32.00
conv,37,0.449197,32.00
3,37,0.287554,32.00
proposed,38,0.632222,32.00
conv,38,0.387002,32.00
3,38,0.308235,32.00
proposed,39,0.647141,32.00
conv,39,0.464393,32.00
3,39,0.309884,32.00
proposed,40,0.662065,32.00
conv,40,0.450554,32.00
3,40,0.348592,32.00
proposed,41,0.608776,32.00
conv,41,0.388659,32.00
3,41,0.305852,32.00
proposed,42,0.676485,32.00
conv,42,0.440314,32.00
3,42,0.339724,32.00
proposed,43,0.674188,32.00
conv,43,0.457754,32.00
3,43,0.308646,32.00
proposed,44,0.610299,32.00
conv,44,0.344186,32.00
3,44,0.277217,32.00
proposed,45,0.563674,32.00
conv,45,0.316155,32.00
3,45,0.221850,32.00
proposed,46,0.687725,32.00
conv,46,0.425448,32.00
3,46,0.328966,32.00
proposed,47,0.678563,32.00
conv,47,0.436905,32.00
3,47,0.336411,32.00
proposed,48,0.517630,32.00
conv,48,0.323372,32.00
