method,audio_id,pesq,tx_gain_db
proposed,32,1.189299,31.00
conv,32,1.041054,31.00
ldpc,32,1.035043,31.00
3,32,1.035266,31.00
proposed,33,1.124215,31.00
conv,33,1.050055,31.00
ldpc,33,1.037147,31.00
3,33,1.035126,31.00
proposed,34,1.243201,31.00
conv,34,1.033749,31.00
ldpc,34,1.031678,31.00
3,34,1.033198,31.00
proposed,35,1.120146,31.00
conv,35,1.047610,31.00
ldpc,35,1.035776,31.00
3,35,1.027414,31.00
proposed,36,1.150190,31.00
conv,36,1.109165,31.00
ldpc,36,1.037629,31.00
3,36,1.029235,31.00
proposed,37,1.156518,31.00
conv,37,1.030573,31.00
ldpc,37,1.031225,31.00
3,37,1.032338,31.00
proposed,38,1.037899,31.00
conv,38,1.031475,31.00
ldpc,38,1.031764,31.00
3,38,1.033526,31.00
proposed,39,1.065893,31.00
conv,39,1.053095,31.00
ldpc,39,1.052634,31.00
3,39,1.028253,31.00
proposed,40,1.131428,31.00
conv,40,1.034409,31.00
ldpc,40,1.033715,31.00
3,40,1.028038,31.00
proposed,41,1.210816,31.00
conv,41,1.031943,31.00
ldpc,41,1.030557,31.00
3,41,1.052256,31.00
