method,audio_id,si_sdr_db,tx_gain_db
3,35,-20.802660,30.00
3,36,-23.480461,30.00
3,37,-20.170750,30.00
3,38,-19.352816,30.00
3,39,-17.269356,30.00
3,40,-21.222697,30.00
3,41,-22.255527,30.00
3,42,-19.145321,30.00
3,43,-21.596665,30.00
3,44,-22.468074,30.00
3,45,-18.728837,30.00
3,46,-20.975269,30.00
3,47,-21.438369,30.00
3,48,-22.892358,30.00
3,49,-19.496689,30.00
3,50,-21.580009,30.00
3,51,-20.059273,30.00
3,52,-20.723535,30.00
3,53,-19.942944,30.00
3,54,-19.942730,30.00
3,55,-17.377287,30.00
3,56,-19.789789,30.00
3,57,-19.921596,30.00
3,58,-18.630425,30.00
3,59,-19.547118,30.00
3,60,-20.387964,30.00
3,61,-19.092015,30.00
3,62,-21.051235,30.00
3,63,-16.998723,30.00
3,64,-20.685972,30.00
3,65,-24.960558,30.00
3,66,-26.503848,30.00
3,67,-26.837711,30.00
3,68,-25.045287,30.00
3,69,-23.741103,30.00
3,70,-24.721433,30.00
3,71,-25.993095,30.00
3,72,-22.005456,30.00
3,73,-27.322838,30.00
3,74,-22.539321,30.00
3,75,-25.558941,30.00
3,76,-25.093820,30.00
3,77,-24.638636,30.00
3,78,-26.119604,30.00
3,79,-24.857545,30.00
3,80,-25.043908,30.00
3,81,-17.924916,30.00
3,82,-18.746797,30.00
3,83,-16.688546,30.00
3,84,-19.944490,30.00
3,85,-24.086919,30.00
3,86,-18.239779,30.00
3,87,-17.892318,30.00
3,88,-18.720973,30.00
3,89,-17.864837,30.00
3,90,-19.398309,30.00
3,91,-15.414049,30.00
3,92,-14.655956,30.00
3,93,-17.822922,30.00
3,94,-15.119577,30.00
3,95,-17.014806,30.00
3,96,-18.998420,30.00
3,97,-16.990932,30.00
3,98,-19.112392,30.00
3,99,-19.558375,30.00
conv,0,-43.434291,30.00
conv,1,-35.733007,30.00
conv,2,-28.557710,30.00
conv,3,-25.474717,30.00
conv,4,-26.331438,30.00
conv,5,-25.431191,30.00
conv,6,-28.746059,30.00
conv,7,-26.146417,30.00
conv,8,-22.524197,30.00
conv,9,-25.205301,30.00
conv,10,-25.829275,30.00
conv,11,-25.889311,30.00
conv,12,-25.415270,30.00
conv,13,-29.747063,30.00
conv,14,-26.582497,30.00
conv,15,-26.684734,30.00
conv,16,-27.979618,30.00
conv,17,-28.166575,30.00
conv,18,-26.448788,30.00
conv,19,-24.318392,30.00
conv,20,-32.574871,30.00
conv,21,-28.002211,30.00
conv,22,-26.472208,30.00
conv,23,-26.887937,30.00
conv,24,-29.364554,30.00
conv,25,-26.255633,30.00
conv,26,-31.688157,30.00
conv,27,-28.580947,30.00
conv,28,-30.465611,30.00
conv,29,-26.174994,30.00
conv,30,-25.467294,30.00
conv,31,-25.613208,30.00
conv,32,-29.376796,30.00
conv,33,-22.799002,30.00
conv,34,-25.701755,30.00
conv,35,-27.784100,30.00
conv,36,-36.147749,30.00
conv,37,-25.446590,30.00
conv,38,-25.926110,30.00
conv,39,-24.717819,30.00
conv,40,-29.733461,30.00
conv,41,-23.578261,30.00
conv,42,-25.111742,30.00
conv,43,-25.078082,30.00
conv,44,-27.133333,30.00
conv,45,-28.371901,30.00
conv,46,-24.710756,30.00
conv,47,-25.969433,30.00
conv,48,-29.742821,30.00
conv,49,-26.380945,30.00
conv,50,-23.210898,30.00
conv,51,-26.528932,30.00
conv,52,-30.287851,30.00
conv,53,-25.827981,30.00
conv,54,-26.012041,30.00
conv,55,-26.785129,30.00
conv,56,-23.537488,30.00
conv,57,-23.673323,30.00
conv,58,-25.666911,30.00
conv,59,-24.368951,30.00
conv,60,-27.755061,30.00
conv,61,-27.261928,30.00
conv,62,-23.631712,30.00
conv,63,-30.065795,30.00
conv,64,-27.590640,30.00
conv,65,-34.620661,30.00
conv,66,-32.550839,30.00
conv,67,-33.859887,30.00
conv,68,-30.153997,30.00
conv,69,-31.208029,30.00
conv,70,-28.915743,30.00
conv,71,-35.876717,30.00
conv,72,-31.632902,30.00
conv,73,-32.206382,30.00
conv,74,-29.806745,30.00
conv,75,-30.223721,30.00
conv,76,-30.247105,30.00
conv,77,-31.864801,30.00
conv,78,-30.827900,30.00
conv,79,-35.336622,30.00
conv,80,-32.106997,30.00
conv,81,-22.259316,30.00
conv,82,-25.127516,30.00
conv,83,-24.698510,30.00
conv,84,-29.929185,30.00
conv,85,-27.817285,30.00
conv,86,-26.727290,30.00
conv,87,-23.906420,30.00
conv,88,-25.550464,30.00
conv,89,-24.132532,30.00
conv,90,-23.599700,30.00
conv,91,-22.043042,30.00
conv,92,-18.306758,30.00
conv,93,-26.113409,30.00
conv,94,-20.737894,30.00
conv,95,-21.244975,30.00
conv,96,-25.407878,30.00
conv,97,-24.103399,30.00
conv,98,-24.726232,30.00
conv,99,-25.279719,30.00
proposed,0,-16.753458,30.00
proposed,1,-14.688066,30.00
proposed,2,-7.929321,30.00
proposed,3,-7.659562,30.00
proposed,4,-8.709600,30.00
proposed,5,-7.764818,30.00
proposed,6,-8.452253,30.00
proposed,7,-7.157984,30.00
proposed,8,-8.077444,30.00
proposed,9,-9.532335,30.00
proposed,10,-11.111340,30.00
proposed,11,-8.427578,30.00
proposed,12,-8.306720,30.00
proposed,13,-11.336223,30.00
proposed,14,-9.132744,30.00
proposed,15,-8.816720,30.00
proposed,16,-10.735061,30.00
proposed,17,-11.449509,30.00
proposed,18,-8.310586,30.00
proposed,19,-7.573807,30.00
proposed,20,-9.802852,30.00
proposed,21,-9.812898,30.00
proposed,22,-11.195293,30.00
proposed,23,-11.711458,30.00
proposed,24,-12.652001,30.00
proposed,25,-8.126768,30.00
proposed,26,-11.813584,30.00
proposed,27,-9.810986,30.00
proposed,28,-9.746808,30.00
proposed,29,-9.476499,30.00
proposed,30,-9.035184,30.00
